genre,subscribers,rating,views,likes
ACTION,460234.3088235294,9.532058823529411,45030240.191176474,2843358.044117647
COMEDY,375962.1052631579,9.183859649122805,51786893.8245614,4016041.754385965
DRAMA,414308.3378378378,9.497297297297298,34596729.55405405,2886904.756756757
FANTASY,462855.30578512396,9.531239669421483,35297218.62809917,2771821.958677686
HEARTWARMING,222459.5,9.68,8734513.0,1409236.5
HISTORICAL,241233.0,9.54,5299068.8,755639.2
HORROR,364858.2727272727,9.480909090909092,21551011.045454547,1659551.5909090908
MYSTERY,325303.6,9.494000000000002,17157578.9,2013739.3
ROMANCE,839668.1481481482,9.455277777777777,70306122.35185185,4974987.851851852
SF,244838.48571428572,9.35142857142857,17547715.828571428,1498996.342857143
SLICE_OF_LIFE,288381.5,9.217499999999998,58990349.615384616,4810222.673076923
SPORTS,442976.1538461539,9.203846153846154,49511930.92307692,2830775.923076923
SUPERNATURAL,464977.575,9.439250000000001,26419274.525,2355144.425
SUPER_HERO,362516.46153846156,8.844999999999999,47787417.384615384,2459721.3846153845
THRILLER,487917.0243902439,9.468048780487806,27726644.341463413,2040572.3658536586
TIPTOON,200566.83333333334,9.206666666666667,11645128.833333334,732331.3333333334
